timestamp,value,lower,mid,upper,bias_corrected
2020-10-30,28.12444625,17.50582807396175,24.400333,28.39139568519799,23.766539
2020-11-01,12.87435438888889,12.727936518104812,16.8277,23.615237109312865,17.532825
2020-11-03,23.403518823529414,16.995233920898663,23.444605,28.66373155784257,22.578587
2020-11-05,21.458863333333333,16.059130059391805,24.087172,30.203756857329033,23.253159
2020-11-07,21.6554126,15.539782397026581,21.33101,26.7415686728777,21.13525
2020-11-09,28.940500000000004,17.245162841199026,25.481539,31.76470400471328,24.427935
2020-11-11,21.464511666666667,14.435390839570566,22.401196,28.39672071130005,22.19227
2020-11-13,28.484864545454545,14.950961179872587,23.59267,30.10253232800775,23.978174
2020-11-15,24.032392666666667,16.766476561034693,24.128286,29.405335515018912,23.876713
2020-11-17,25.035796923076926,17.663916993634665,24.24857,28.61114784975918,23.531084
2020-11-19,19.75275007692308,14.233755356820609,21.318596,28.641307505455433,20.620262
2020-11-21,21.054681666666667,15.066647025941892,21.295338,26.907959517683068,19.856056
2020-11-23,21.83906,11.644792898486827,19.08897,26.96957063153218,19.868608
2020-11-25,26.297582,13.32938964052185,25.183474,31.597504424522903,24.492228
2020-11-27,28.377553846153848,17.319238200113414,25.981318,29.90352537552174,25.55529
2020-11-29,12.8587635,10.035010017059909,16.560139,25.734723124792463,15.6107855
2020-12-01,19.730076625,12.927919218927137,20.35172,28.117090876972227,19.655888
2020-12-03,14.200738916666666,10.888310590065771,16.773342,23.54361917025572,16.50093
2020-12-05,15.488270666666669,10.103800986441364,15.411545,22.404071592899548,15.732782
2020-12-07,21.692992125,13.721950496737534,21.53575,27.960019511196478,21.211357
2020-12-09,27.824345555555556,16.626003607480364,23.36353,27.2198888373688,23.76133
2020-12-11,28.80756,18.788643620816277,26.05481,30.406442473062132,24.897781
2020-12-13,11.176077249999999,9.661816734287521,16.273851,24.36516848831519,15.159572
2020-12-15,20.619195833333333,11.314774864310328,18.135925,25.61750533146049,17.344067
2020-12-17,17.530313600000003,11.050634605478178,18.841417,26.087310959992976,18.34957
2020-12-19,,,,,
2020-12-21,,,,,
2020-12-23,,,,,
2020-12-25,,,,,
2020-12-27,,,,,
2020-12-29,,,,,
2020-12-31,,,,,
2021-01-02,,,,,
2021-01-04,,,,,
2021-01-06,,,,,
2021-01-08,,,,,
2021-01-10,,,,,
2021-01-12,,,,,
2021-01-14,24.58170846153846,13.878233226516299,23.11157,29.101561742120907,22.87996
2021-01-16,18.720659526315792,13.176319455520213,19.039492,24.36937353867225,19.272268
2021-01-18,21.77374585714286,10.279232113754796,19.470087,23.909740468466328,19.568008
2021-01-20,26.233252,11.7833214706883,24.166971,28.281640701786756,22.941319
2021-01-22,18.463692142857145,9.327875047494254,17.49919,23.035032558596225,18.16171
2021-01-24,11.042478444444445,5.441549556120881,9.6646805,15.167271250201274,10.318694
2021-01-26,13.580040416666668,8.183823054424787,15.61841,21.10171511025161,15.607362
2021-01-28,27.688657142857142,13.13106888788147,23.620813,27.924434617051258,23.29877
2021-01-30,13.468537,8.932251053631353,16.220293,19.735756304012515,15.815178
2021-02-01,12.094975,6.734134818765657,11.196626,18.83104244741974,12.156707
2021-02-03,15.567001,7.8383125611745825,13.901819,21.679646630912345,14.281771
2021-02-05,10.5040650625,10.368565530968368,17.599283,25.44038579436774,16.583992
2021-02-07,13.079112125,8.88730134625898,13.508076,20.219542442416284,14.184019
2021-02-09,28.569081428571426,13.232438615187302,21.674665,29.260356778496057,21.795143
2021-02-11,18.91411405263158,12.859637877979962,20.338726,27.856604959070058,19.542328
2021-02-13,16.625263785714285,10.906882689379904,16.623905,22.859322253688024,17.310877
2021-02-15,22.366680769230772,13.388998339485209,21.557514,27.70431339623079,21.507797
2021-02-17,19.714507695652173,14.84870774076346,21.365002,28.14957895194518,20.579124
2021-02-19,18.960301666666666,16.249350183024646,23.342165,28.862741710129303,22.36213
2021-02-21,11.907589176470587,11.689733953263794,15.527452,24.29075930321225,15.184502
2021-02-23,11.27726905882353,9.546899686555406,16.505049,24.172531291152033,15.623667
2021-02-25,12.328443307692309,7.9977532862980585,14.512476,23.428811608985434,14.48307
2021-02-27,26.5227,17.666205821256195,25.328945,30.6703434088419,23.709465
2021-03-01,23.326521111111113,14.6059437017291,22.742382,27.5443626311619,22.715479
2021-03-03,,,,,
2021-03-05,34.647663333333334,17.05401718590221,26.629385,30.22958287869066,25.567514
2021-03-07,12.837489,7.353772907728713,14.035496,21.95480256526339,14.065323
2021-03-09,21.96674,10.988820584932549,19.7672,26.722919648108782,17.844831
2021-03-11,25.44810625,15.802195522160805,23.91797,27.671449651294147,24.666628
2021-03-13,23.633887,15.632210274038226,24.107544,27.683490716925952,24.053806
2021-03-15,19.545035,14.100858220356065,22.903786,28.360544145060647,22.293028
2021-03-17,22.236762307692306,13.069832811123744,21.437252,26.58762588942432,21.697056
2021-03-19,20.52005257142857,12.84083859486723,21.072193,26.546242741247358,20.497812
2021-03-21,10.431787230769231,10.514051764936822,17.44399,24.942520016088856,16.16302
2021-03-23,30.377012666666666,13.889108986125848,24.48671,30.58545531637656,25.219038
2021-03-25,23.38786642857143,10.65791134470332,19.930546,25.64815410982781,21.427017
2021-03-27,,,,,
2021-03-29,8.0379266,5.687829377496295,11.563896,18.81360163079923,11.300425
2021-03-31,7.135399714285714,5.187300142270638,10.397774,17.972695682862426,10.22455
2021-04-02,3.6166942857142854,4.215372817684143,8.9763365,18.131560645576954,8.177019
2021-04-04,13.673941555555555,6.290940743632567,11.288456,19.22947262936033,11.773106
